Temps(s)	Pc(MPa)	Pax(MPa)	Ppam(MPa)	Q(MPa)	Pmoy(MPa)	Defaxcapt	Defvolfluide	Defvolconf	Deplct(µm)
2.253000E+0	8.004184E+1	3.255698E+2	1.011193E+1	2.455279E+2	1.618845E+2	1.224423E-5	-3.606511E-6	2.347071E-5	4.897692E-1
3.381000E+0	8.004195E+1	3.255690E+2	1.005738E+1	2.455270E+2	1.618843E+2	1.354069E-5	2.909252E-5	2.413595E-5	5.416277E-1
4.507000E+0	8.004117E+1	3.250053E+2	1.005865E+1	2.449641E+2	1.616959E+2	2.266809E-5	4.448030E-5	4.958486E-5	9.067234E-1
5.692000E+0	8.004093E+1	3.241460E+2	1.005856E+1	2.441050E+2	1.614093E+2	5.199871E-5	6.443633E-5	1.015019E-4	2.079948E+0
6.820000E+0	8.004150E+1	3.232852E+2	1.005796E+1	2.432437E+2	1.611227E+2	6.965029E-5	8.655627E-5	1.234232E-4	2.786012E+0
7.998000E+0	8.004169E+1	3.221314E+2	1.005865E+1	2.420897E+2	1.607383E+2	9.902674E-5	1.130040E-4	1.699415E-4	3.961070E+0
9.124000E+0	8.004164E+1	3.212850E+2	1.000645E+1	2.412433E+2	1.604561E+2	1.124894E-4	1.423370E-4	1.929521E-4	4.499577E+0
1.024800E+1	8.004180E+1	3.204309E+2	1.000657E+1	2.403891E+2	1.601715E+2	1.246114E-4	1.432987E-4	2.136877E-4	4.984457E+0
1.136800E+1	8.004180E+1	3.192757E+2	1.000653E+1	2.392339E+2	1.597864E+2	1.437971E-4	1.432987E-4	2.456290E-4	5.751884E+0
1.249200E+1	8.004164E+1	3.183961E+2	1.000659E+1	2.383545E+2	1.594931E+2	1.410844E-4	1.432987E-4	2.432033E-4	5.643378E+0
1.361200E+1	8.004192E+1	3.172654E+2	1.000639E+1	2.372235E+2	1.591164E+2	1.411419E-4	1.432987E-4	2.397153E-4	5.645676E+0
1.473000E+1	8.004184E+1	3.164024E+2	1.000655E+1	2.363605E+2	1.588287E+2	1.225584E-4	1.432987E-4	2.100125E-4	4.902337E+0
1.584700E+1	8.004169E+1	3.155104E+2	1.000533E+1	2.354687E+2	1.585313E+2	1.066489E-4	1.432987E-4	1.855164E-4	4.265957E+0
1.696800E+1	8.004176E+1	3.143969E+2	1.000646E+1	2.343551E+2	1.581601E+2	1.019025E-4	1.432987E-4	1.766189E-4	4.076101E+0
1.808500E+1	8.004164E+1	3.135571E+2	1.000517E+1	2.335155E+2	1.578801E+2	8.668509E-5	1.432987E-4	1.528769E-4	3.467404E+0
1.920600E+1	8.004170E+1	3.126938E+2	1.000635E+1	2.326521E+2	1.575924E+2	6.554446E-5	1.432987E-4	1.168846E-4	2.621778E+0
2.032500E+1	8.004189E+1	3.118415E+2	1.000511E+1	2.317996E+2	1.573084E+2	5.439811E-5	1.432987E-4	9.593852E-5	2.175924E+0
2.144900E+1	8.004076E+1	3.109825E+2	1.000601E+1	2.309417E+2	1.570213E+2	4.391629E-5	1.432987E-4	9.322059E-5	1.756652E+0
2.257700E+1	8.004129E+1	3.098236E+2	9.951799E+0	2.297823E+2	1.566354E+2	2.864850E-5	1.432987E-4	6.059340E-5	1.145940E+0
2.370100E+1	7.998856E+1	3.092799E+2	9.952806E+0	2.292914E+2	1.564190E+2	1.392765E-5	1.432987E-4	7.241435E-4	5.571061E-1
2.482100E+1	7.998862E+1	3.084255E+2	9.951704E+0	2.284369E+2	1.561342E+2	4.064065E-6	1.432987E-4	7.069257E-4	1.625626E-1
2.593700E+1	7.998859E+1	3.075609E+2	9.952593E+0	2.275723E+2	1.558460E+2	-9.961492E-6	1.432987E-4	6.837330E-4	-3.984597E-1
2.705700E+1	7.998870E+1	3.067089E+2	9.951543E+0	2.267202E+2	1.555621E+2	-2.413533E-5	1.432987E-4	6.586425E-4	-9.654132E-1
2.817900E+1	7.998859E+1	3.058425E+2	9.952600E+0	2.258539E+2	1.552732E+2	-3.801403E-5	1.432987E-4	6.370297E-4	-1.520561E+0
2.930100E+1	7.998847E+1	3.049821E+2	9.951578E+0	2.249936E+2	1.549864E+2	-4.778338E-5	1.432987E-4	6.224989E-4	-1.911335E+0
3.042700E+1	7.998869E+1	3.041148E+2	9.952352E+0	2.241261E+2	1.546974E+2	-6.499438E-5	1.432987E-4	5.909583E-4	-2.599775E+0
3.155100E+1	7.998837E+1	3.035467E+2	9.951203E+0	2.235583E+2	1.545078E+2	-8.450087E-5	1.432987E-4	5.627634E-4	-3.380035E+0
3.266900E+1	7.998849E+1	3.026932E+2	9.952333E+0	2.227047E+2	1.542234E+2	-9.002204E-5	1.432987E-4	5.518792E-4	-3.600882E+0
3.379100E+1	7.998792E+1	3.018272E+2	9.951185E+0	2.218393E+2	1.539343E+2	-1.072938E-4	1.432987E-4	5.304493E-4	-4.291753E+0
3.491300E+1	7.998795E+1	3.009729E+2	9.952324E+0	2.209850E+2	1.536496E+2	-1.190476E-4	1.432987E-4	5.103834E-4	-4.761902E+0
3.603000E+1	7.998804E+1	3.003861E+2	9.951541E+0	2.203981E+2	1.534541E+2	-1.336871E-4	1.432987E-4	4.851562E-4	-5.347482E+0
3.714800E+1	7.998788E+1	2.995290E+2	9.952367E+0	2.195411E+2	1.531683E+2	-1.416249E-4	1.432987E-4	4.739318E-4	-5.664996E+0
3.827200E+1	7.998782E+1	2.989549E+2	9.951637E+0	2.189671E+2	1.529768E+2	-1.606698E-4	1.432987E-4	4.430212E-4	-6.426794E+0
3.939900E+1	7.998831E+1	2.980985E+2	9.952651E+0	2.181102E+2	1.526917E+2	-1.697481E-4	1.432987E-4	4.215364E-4	-6.789923E+0
4.052500E+1	7.998853E+1	2.975329E+2	9.951567E+0	2.175444E+2	1.525033E+2	-1.873728E-4	1.432987E-4	3.893070E-4	-7.494914E+0
4.169800E+1	7.998831E+1	2.966727E+2	9.952529E+0	2.166844E+2	1.522164E+2	-1.952479E-4	1.432987E-4	3.790831E-4	-7.809915E+0
4.282600E+1	7.998851E+1	2.960983E+2	9.952520E+0	2.161098E+2	1.520251E+2	-2.164081E-4	1.432987E-4	3.407855E-4	-8.656322E+0
4.395500E+1	7.998846E+1	2.952474E+2	9.952299E+0	2.152589E+2	1.517414E+2	-2.250051E-4	1.432987E-4	3.271696E-4	-9.000203E+0
4.508200E+1	7.998792E+1	2.946716E+2	9.951221E+0	2.146837E+2	1.515492E+2	-2.399994E-4	1.432987E-4	3.095145E-4	-9.599974E+0
4.620600E+1	7.998828E+1	2.938159E+2	9.952422E+0	2.138277E+2	1.512642E+2	-2.465076E-4	1.432987E-4	2.936607E-4	-9.860302E+0
