Temps(s)	Pc(MPa)	Pax(MPa)	Ppam(MPa)	Q(MPa)	Pmoy(MPa)	Defaxcapt	Defvolfluide	Defvolconf	Deplct(µm)
2.225000E+0	6.004669E+1	6.188162E+1	1.000400E+1	1.834926E+0	6.065833E+1	1.135085E-5	0.000000E+0	1.128668E-6	4.525925E-1
3.419000E+0	6.004569E+1	6.187148E+1	1.000287E+1	1.825786E+0	6.065429E+1	9.610075E-6	0.000000E+0	1.446646E-5	3.831825E-1
4.538000E+0	6.004568E+1	6.188189E+1	1.000416E+1	1.836216E+0	6.065775E+1	6.165127E-6	0.000000E+0	8.950641E-6	2.458221E-1
5.658000E+0	6.004559E+1	6.187167E+1	1.000283E+1	1.826080E+0	6.065428E+1	2.203226E-6	0.000000E+0	3.810374E-6	8.784922E-2
6.857000E+0	6.004610E+1	6.217173E+1	1.000399E+1	2.125623E+0	6.075465E+1	-2.464207E-6	0.000000E+0	-1.243424E-5	-9.825534E-2
7.981000E+0	6.004648E+1	6.216184E+1	1.000278E+1	2.115356E+0	6.075160E+1	-4.266449E-6	0.000000E+0	-2.159007E-5	-1.701161E-1
9.107000E+0	6.004649E+1	6.217214E+1	1.000393E+1	2.125658E+0	6.075504E+1	3.492717E-6	0.000000E+0	-8.669851E-6	1.392651E-1
1.023100E+1	6.004619E+1	6.244252E+1	1.000273E+1	2.396327E+0	6.084496E+1	-6.127791E-6	0.000000E+0	-1.701967E-5	-2.443334E-1
1.140600E+1	6.004640E+1	6.245932E+1	1.000389E+1	2.412922E+0	6.085071E+1	8.532810E-6	0.000000E+0	3.793935E-6	3.402287E-1
1.252800E+1	6.004618E+1	6.275059E+1	1.005599E+1	2.704405E+0	6.094765E+1	1.035104E-5	0.000000E+0	1.067592E-5	4.127272E-1
1.366200E+1	6.004548E+1	6.275087E+1	1.000397E+1	2.705393E+0	6.094728E+1	3.221906E-5	1.599855E-5	5.843445E-5	1.284671E+0
1.480000E+1	6.004638E+1	6.303719E+1	1.000380E+1	2.990811E+0	6.104332E+1	4.953331E-5	1.672576E-5	7.294640E-5	1.975041E+0
1.592500E+1	6.004616E+1	6.303706E+1	1.000379E+1	2.990899E+0	6.104313E+1	6.839803E-5	1.672576E-5	1.081073E-4	2.727235E+0
1.705000E+1	6.004643E+1	6.303659E+1	1.000390E+1	2.990164E+0	6.104315E+1	8.889847E-5	1.672576E-5	1.380659E-4	3.544649E+0
1.816900E+1	6.004618E+1	6.332479E+1	1.000389E+1	3.278610E+0	6.113905E+1	9.022584E-5	1.648335E-5	1.443184E-4	3.597575E+0
1.928600E+1	6.004638E+1	6.332441E+1	1.000307E+1	3.278024E+0	6.113906E+1	1.175969E-4	1.648335E-5	1.865845E-4	4.688940E+0
2.040600E+1	6.004642E+1	6.332611E+1	1.000390E+1	3.279681E+0	6.113965E+1	1.250117E-4	1.648335E-5	1.983084E-4	4.984592E+0
2.152800E+1	6.004599E+1	6.332283E+1	1.000274E+1	3.276839E+0	6.113827E+1	1.419601E-4	1.672576E-5	2.339787E-4	5.660376E+0
2.264600E+1	6.004638E+1	6.360752E+1	1.000379E+1	3.561132E+0	6.123343E+1	1.524731E-4	1.672576E-5	2.451800E-4	6.079560E+0
2.376800E+1	6.004580E+1	6.360799E+1	1.000350E+1	3.562192E+0	6.123320E+1	1.570316E-4	1.672576E-5	2.622968E-4	6.261322E+0
2.489100E+1	6.004544E+1	6.360834E+1	1.000396E+1	3.562901E+0	6.123307E+1	1.792595E-4	1.672576E-5	3.053176E-4	7.147612E+0
2.601100E+1	6.004573E+1	6.388674E+1	1.005473E+1	3.841005E+0	6.132607E+1	1.854648E-4	1.648335E-5	3.107437E-4	7.395037E+0
2.719200E+1	6.004559E+1	6.389602E+1	1.005574E+1	3.850430E+0	6.132907E+1	1.985108E-4	4.120839E-5	3.345621E-4	7.915220E+0
2.831400E+1	6.004645E+1	6.388621E+1	1.000255E+1	3.839764E+0	6.132637E+1	2.087264E-4	6.884225E-5	3.380034E-4	8.322548E+0
2.944100E+1	6.004617E+1	6.389140E+1	1.000358E+1	3.845236E+0	6.132791E+1	2.172918E-4	6.956945E-5	3.566820E-4	8.664076E+0
3.056400E+1	6.004647E+1	6.416841E+1	1.000267E+1	4.121945E+0	6.142045E+1	2.260093E-4	6.956945E-5	3.666101E-4	9.011668E+0
3.168300E+1	6.004610E+1	6.417665E+1	1.000380E+1	4.130555E+0	6.142295E+1	2.418329E-4	6.956945E-5	3.988593E-4	9.642603E+0
3.280400E+1	6.004657E+1	6.416882E+1	1.000283E+1	4.122254E+0	6.142065E+1	2.555192E-4	6.956945E-5	4.140676E-4	1.018832E+1
3.392400E+1	6.004627E+1	6.417639E+1	1.000380E+1	4.130117E+0	6.142298E+1	2.703836E-4	6.956945E-5	4.440181E-4	1.078100E+1
