Temps(s)	Pc(MPa)	Pax(MPa)	Ppam(MPa)	Q(MPa)	Pmoy(MPa)	Defaxcapt	Defvolfluide	Defvolconf	Deplct(µm)
2.252000E+0	2.004597E+1	9.590510E+1	1.000594E+1	7.585913E+1	4.533235E+1	-1.192486E-6	0.000000E+0	2.553844E-7	-4.772328E-2
3.377000E+0	2.004600E+1	9.590522E+1	1.000508E+1	7.585922E+1	4.533240E+1	-2.046661E-6	0.000000E+0	-1.878583E-6	-8.190736E-2
4.502000E+0	2.004589E+1	9.561719E+1	1.000563E+1	7.557130E+1	4.523632E+1	1.210701E-5	0.000000E+0	2.380959E-5	4.845227E-1
5.621000E+0	2.004603E+1	9.504844E+1	1.000497E+1	7.500241E+1	4.504683E+1	2.235080E-5	0.000000E+0	3.851314E-5	8.944789E-1
6.746000E+0	2.004605E+1	9.446914E+1	1.000575E+1	7.442309E+1	4.485375E+1	3.243002E-5	0.000000E+0	5.492207E-5	1.297849E+0
7.870000E+0	2.004607E+1	9.388691E+1	1.000532E+1	7.384085E+1	4.465968E+1	4.730840E-5	0.000000E+0	7.925088E-5	1.893282E+0
8.991000E+0	2.004593E+1	9.330862E+1	1.000571E+1	7.326269E+1	4.446683E+1	5.323228E-5	0.000000E+0	9.165572E-5	2.130356E+0
1.011100E+1	2.004593E+1	9.302083E+1	1.000506E+1	7.297491E+1	4.437090E+1	3.745538E-5	0.000000E+0	6.540548E-5	1.498964E+0
1.133300E+1	2.004606E+1	9.244184E+1	1.000445E+1	7.239578E+1	4.417799E+1	2.844866E-5	0.000000E+0	4.785029E-5	1.138515E+0
1.246000E+1	2.004601E+1	9.215738E+1	1.000580E+1	7.211137E+1	4.408314E+1	1.770461E-5	0.000000E+0	3.055532E-5	7.085387E-1
1.358500E+1	2.004596E+1	9.157817E+1	1.000479E+1	7.153221E+1	4.389003E+1	1.138573E-5	0.000000E+0	2.127887E-5	4.556569E-1
1.470500E+1	2.004599E+1	9.129636E+1	1.000575E+1	7.125037E+1	4.379612E+1	-4.160823E-6	0.000000E+0	-5.374785E-6	-1.665162E-1
1.583000E+1	2.004602E+1	9.098461E+1	1.000570E+1	7.093859E+1	4.369222E+1	-1.293897E-5	0.000000E+0	-2.057747E-5	-5.178177E-1
1.695500E+1	2.004587E+1	9.043124E+1	1.000571E+1	7.038537E+1	4.350766E+1	-1.552238E-5	0.000000E+0	-2.226822E-5	-6.212057E-1
1.808000E+1	2.004586E+1	9.015033E+1	1.000545E+1	7.010446E+1	4.341402E+1	-2.854749E-5	0.000000E+0	-4.388534E-5	-1.142471E+0
1.920500E+1	2.004605E+1	8.957293E+1	1.000547E+1	6.952688E+1	4.322167E+1	-3.620162E-5	0.000000E+0	-5.990705E-5	-1.448789E+0
2.032900E+1	2.004603E+1	8.900096E+1	1.000547E+1	6.895492E+1	4.303101E+1	-4.734912E-5	0.000000E+0	-7.824403E-5	-1.894912E+0
2.145000E+1	2.004599E+1	8.870968E+1	1.000547E+1	6.866370E+1	4.293389E+1	-6.514824E-5	0.000000E+0	-1.071203E-4	-2.607233E+0
2.256300E+1	2.004595E+1	8.814234E+1	1.000443E+1	6.809639E+1	4.274475E+1	-7.420347E-5	0.000000E+0	-1.218446E-4	-2.969623E+0
2.367900E+1	2.004593E+1	8.785451E+1	1.000555E+1	6.780859E+1	4.264879E+1	-8.486245E-5	0.000000E+0	-1.389093E-4	-3.396195E+0
2.479700E+1	2.004614E+1	8.755312E+1	1.000436E+1	6.750698E+1	4.254847E+1	-9.975386E-5	0.000000E+0	-1.678006E-4	-3.992150E+0
2.591800E+1	2.004602E+1	8.698806E+1	1.000566E+1	6.694204E+1	4.236003E+1	-9.795664E-5	0.000000E+0	-1.629873E-4	-3.920225E+0
2.704300E+1	1.999142E+1	8.673481E+1	1.000460E+1	6.674339E+1	4.223921E+1	-1.113743E-4	-2.411516E-7	7.445668E-4	-4.457201E+0
2.816900E+1	1.999142E+1	8.645110E+1	1.000579E+1	6.645968E+1	4.214465E+1	-1.311539E-4	0.000000E+0	7.115894E-4	-5.248778E+0
