Temps(s)	Pc(MPa)	Pax(MPa)	Ppam(MPa)	Q(MPa)	Pmoy(MPa)	Defaxcapt	Defvolfluide	Defvolconf	Deplct(µm)
2.229000E+0	2.004564E+1	2.175946E+1	1.000533E+1	1.713819E+0	2.061692E+1	-2.038092E-6	0.000000E+0	-9.326962E-7	-8.156446E-2
3.349000E+0	2.004571E+1	2.175918E+1	1.000531E+1	1.713473E+0	2.061687E+1	1.768575E-6	0.000000E+0	4.244544E-6	7.077839E-2
4.466000E+0	2.004570E+1	2.175836E+1	1.000523E+1	1.712660E+0	2.061659E+1	4.867151E-6	0.000000E+0	9.492846E-6	1.947834E-1
5.584000E+0	2.004556E+1	2.203823E+1	1.000538E+1	1.992675E+0	2.070978E+1	9.689942E-6	0.000000E+0	2.034477E-5	3.877915E-1
6.701000E+0	2.004573E+1	2.204229E+1	1.000427E+1	1.996564E+0	2.071125E+1	1.225420E-5	0.000000E+0	2.133243E-5	4.904132E-1
7.818000E+0	2.004568E+1	2.203762E+1	1.000535E+1	1.991939E+0	2.070966E+1	1.866623E-5	0.000000E+0	3.301210E-5	7.470224E-1
8.937000E+0	2.004564E+1	2.204283E+1	1.000426E+1	1.997189E+0	2.071137E+1	2.784320E-5	0.000000E+0	4.902439E-5	1.114285E+0
1.005500E+1	2.004563E+1	2.203842E+1	1.000524E+1	1.992783E+0	2.070989E+1	4.063864E-5	0.000000E+0	7.347410E-5	1.626358E+0
1.117300E+1	2.004568E+1	2.204179E+1	1.000517E+1	1.996110E+0	2.071105E+1	5.300644E-5	0.000000E+0	9.316899E-5	2.121318E+0
1.229200E+1	2.004558E+1	2.233201E+1	1.000498E+1	2.286431E+0	2.080773E+1	5.178482E-5	0.000000E+0	9.306289E-5	2.072428E+0
1.341300E+1	2.004581E+1	2.233234E+1	1.000509E+1	2.286526E+0	2.080799E+1	5.803258E-5	0.000000E+0	9.916534E-5	2.322464E+0
1.455800E+1	2.004587E+1	2.232432E+1	1.000519E+1	2.278445E+0	2.080536E+1	7.319589E-5	0.000000E+0	1.233514E-4	2.929300E+0
1.567700E+1	2.004579E+1	2.233226E+1	1.000416E+1	2.286462E+0	2.080795E+1	8.661404E-5	0.000000E+0	1.472733E-4	3.466294E+0
1.679900E+1	2.004559E+1	2.232763E+1	1.000523E+1	2.282045E+0	2.080627E+1	9.792493E-5	0.000000E+0	1.700395E-4	3.918956E+0
1.792300E+1	2.004576E+1	2.233198E+1	1.000427E+1	2.286219E+0	2.080784E+1	1.145322E-4	0.000000E+0	1.944523E-4	4.583578E+0
1.904200E+1	2.004567E+1	2.260922E+1	1.000525E+1	2.563552E+0	2.090019E+1	1.078110E-4	0.000000E+0	1.850150E-4	4.314596E+0
2.016000E+1	2.004565E+1	2.261462E+1	1.000427E+1	2.568967E+0	2.090197E+1	1.219529E-4	0.000000E+0	2.089995E-4	4.880554E+0
2.128100E+1	2.004568E+1	2.260897E+1	1.005751E+1	2.563295E+0	2.090011E+1	1.431540E-4	0.000000E+0	2.438818E-4	5.729024E+0
2.240800E+1	2.004560E+1	2.261461E+1	1.000402E+1	2.569008E+0	2.090193E+1	1.451815E-4	1.639831E-5	2.488097E-4	5.810163E+0
2.354700E+1	2.004573E+1	2.261226E+1	1.000526E+1	2.566526E+0	2.090124E+1	1.558021E-4	1.736291E-5	2.640450E-4	6.235201E+0
2.471100E+1	2.004576E+1	2.261464E+1	1.000509E+1	2.568885E+0	2.090205E+1	1.777555E-4	1.736291E-5	3.002199E-4	7.113776E+0
2.583200E+1	2.004578E+1	2.289775E+1	1.000531E+1	2.851969E+0	2.099644E+1	1.733404E-4	1.736291E-5	2.921010E-4	6.937084E+0
2.695400E+1	2.009856E+1	2.286553E+1	1.000530E+1	2.766969E+0	2.102088E+1	1.930189E-4	1.736291E-5	-6.666716E-4	7.724617E+0
2.807500E+1	2.004577E+1	2.289843E+1	1.005742E+1	2.852657E+0	2.099666E+1	1.996709E-4	1.736291E-5	-1.218830E-4	7.990827E+0
2.920400E+1	2.004579E+1	2.290130E+1	1.005621E+1	2.855516E+0	2.099763E+1	2.171936E-4	4.123692E-5	-1.124285E-4	8.692088E+0
3.032800E+1	2.004579E+1	2.289654E+1	1.000526E+1	2.850754E+0	2.099604E+1	2.225597E-4	6.872819E-5	-1.037047E-4	8.906839E+0
3.144800E+1	2.004561E+1	2.290152E+1	1.000433E+1	2.855905E+0	2.099758E+1	2.276818E-4	6.969280E-5	-9.185118E-5	9.111825E+0
3.257100E+1	2.004552E+1	2.318139E+1	1.000529E+1	3.135866E+0	2.109081E+1	2.381938E-4	6.969280E-5	-7.240000E-5	9.532514E+0
3.372000E+1	2.004575E+1	2.318567E+1	1.000529E+1	3.139921E+0	2.109239E+1	2.469941E-4	6.945165E-5	-6.209506E-5	9.884705E+0
3.484200E+1	2.004575E+1	2.318576E+1	1.000531E+1	3.140017E+0	2.109242E+1	2.638723E-4	6.969280E-5	-3.369221E-5	1.056017E+1
3.596400E+1	2.004576E+1	2.318749E+1	1.000526E+1	3.141731E+0	2.109300E+1	2.716593E-4	6.969280E-5	-2.110313E-5	1.087180E+1
3.709000E+1	2.004587E+1	2.318717E+1	1.000431E+1	3.141297E+0	2.109297E+1	2.858904E-4	6.969280E-5	5.224387E-7	1.144134E+1
3.821400E+1	2.004559E+1	2.347549E+1	1.000537E+1	3.429906E+0	2.118889E+1	2.919927E-4	6.969280E-5	1.609162E-5	1.168555E+1
3.933100E+1	2.004564E+1	2.347728E+1	1.000530E+1	3.431642E+0	2.118952E+1	3.042742E-4	6.969280E-5	3.557069E-5	1.217705E+1
4.045200E+1	2.004565E+1	2.347771E+1	1.000532E+1	3.432059E+0	2.118967E+1	3.208145E-4	6.945165E-5	6.278354E-5	1.283900E+1
4.157500E+1	2.004554E+1	2.347744E+1	1.000531E+1	3.431901E+0	2.118951E+1	3.319518E-4	6.945165E-5	8.339645E-5	1.328471E+1
4.269800E+1	2.004580E+1	2.347564E+1	1.000510E+1	3.429840E+0	2.118908E+1	3.428325E-4	6.945165E-5	9.701437E-5	1.372016E+1
4.382400E+1	2.004570E+1	2.375725E+1	1.000416E+1	3.711545E+0	2.128288E+1	3.496755E-4	6.969280E-5	1.100327E-4	1.399401E+1
4.494900E+1	2.004574E+1	2.375342E+1	1.000532E+1	3.707687E+0	2.128163E+1	3.609093E-4	6.969280E-5	1.281198E-4	1.444359E+1
4.607100E+1	2.004574E+1	2.375746E+1	1.000429E+1	3.711725E+0	2.128298E+1	3.741555E-4	6.969280E-5	1.505266E-4	1.497370E+1
4.719300E+1	2.004574E+1	2.375193E+1	1.000533E+1	3.706197E+0	2.128114E+1	3.847168E-4	6.945165E-5	1.679298E-4	1.539637E+1
4.831200E+1	2.004561E+1	2.375779E+1	1.000529E+1	3.712173E+0	2.128300E+1	3.998512E-4	6.945165E-5	1.957841E-4	1.600204E+1
4.943100E+1	2.004594E+1	2.404348E+1	1.000523E+1	3.997545E+0	2.137845E+1	4.112337E-4	6.945165E-5	2.084323E-4	1.645757E+1
5.056000E+1	2.004577E+1	2.404562E+1	1.000432E+1	3.999844E+0	2.137905E+1	4.155217E-4	6.969280E-5	2.189544E-4	1.662918E+1
5.168200E+1	2.004576E+1	2.403861E+1	1.005744E+1	3.992840E+0	2.137671E+1	4.338646E-4	6.969280E-5	2.495012E-4	1.736326E+1
5.281300E+1	2.004570E+1	2.404567E+1	1.005580E+1	3.999976E+0	2.137902E+1	4.465388E-4	9.404911E-5	2.719653E-4	1.787048E+1
5.398700E+1	2.004564E+1	2.404537E+1	1.005719E+1	3.999732E+0	2.137888E+1	4.538680E-4	1.229873E-4	2.854900E-4	1.816380E+1
5.511700E+1	2.004570E+1	2.432894E+1	1.000415E+1	4.283241E+0	2.147345E+1	4.655942E-4	1.550605E-4	3.036568E-4	1.863308E+1
5.624300E+1	2.004580E+1	2.432148E+1	1.000524E+1	4.275673E+0	2.147103E+1	4.698765E-4	1.560251E-4	3.089480E-4	1.880446E+1
5.736500E+1	2.004580E+1	2.432869E+1	1.000426E+1	4.282898E+0	2.147343E+1	4.940386E-4	1.560251E-4	3.492166E-4	1.977143E+1
5.848900E+1	2.004574E+1	2.432320E+1	1.000530E+1	4.277460E+0	2.147156E+1	5.005034E-4	1.560251E-4	3.610561E-4	2.003015E+1
5.961200E+1	2.004583E+1	2.462165E+1	1.000432E+1	4.575828E+0	2.157110E+1	5.043060E-4	1.560251E-4	3.660378E-4	2.018233E+1
6.073100E+1	2.004568E+1	2.461483E+1	1.000524E+1	4.569155E+0	2.156873E+1	5.221861E-4	1.560251E-4	3.987039E-4	2.089789E+1
6.185100E+1	2.004567E+1	2.462185E+1	1.000472E+1	4.576177E+0	2.157107E+1	5.241852E-4	1.560251E-4	4.021154E-4	2.097789E+1
6.297300E+1	2.004560E+1	2.461517E+1	1.000512E+1	4.569578E+0	2.156879E+1	5.381799E-4	1.560251E-4	4.269647E-4	2.153796E+1
6.409400E+1	2.004559E+1	2.462191E+1	1.000508E+1	4.576323E+0	2.157103E+1	5.553679E-4	1.560251E-4	4.558231E-4	2.222582E+1
6.521300E+1	2.004555E+1	2.490622E+1	1.000524E+1	4.860671E+0	2.166577E+1	5.609704E-4	1.560251E-4	4.656225E-4	2.245003E+1
6.633000E+1	2.004569E+1	2.490589E+1	1.000528E+1	4.860203E+0	2.166576E+1	5.721248E-4	1.560251E-4	4.819192E-4	2.289644E+1
6.744800E+1	2.004552E+1	2.490654E+1	1.000523E+1	4.861018E+0	2.166586E+1	5.883056E-4	1.560251E-4	5.121406E-4	2.354399E+1
6.857100E+1	2.004554E+1	2.519485E+1	1.000508E+1	5.149309E+0	2.176197E+1	5.940813E-4	1.560251E-4	5.211902E-4	2.377513E+1
6.969700E+1	2.009848E+1	2.516016E+1	1.000499E+1	5.061672E+0	2.178571E+1	6.087524E-4	1.560251E-4	-4.488958E-4	2.436227E+1
7.081800E+1	2.009847E+1	2.515785E+1	1.000510E+1	5.059378E+0	2.178493E+1	6.208701E-4	1.560251E-4	-8.835252E-4	2.484722E+1
7.194000E+1	2.004573E+1	2.519380E+1	1.000530E+1	5.148068E+0	2.176176E+1	6.275988E-4	1.560251E-4	-4.996287E-4	2.511650E+1
7.308500E+1	2.004580E+1	2.519476E+1	1.005631E+1	5.148959E+0	2.176212E+1	6.459131E-4	1.560251E-4	-4.959196E-4	2.584944E+1
7.420700E+1	2.004572E+1	2.547670E+1	1.005740E+1	5.430988E+0	2.185604E+1	6.484734E-4	1.789345E-4	-4.899582E-4	2.595190E+1
7.533300E+1	2.004574E+1	2.548294E+1	1.005691E+1	5.437196E+0	2.185814E+1	6.624870E-4	2.064257E-4	-4.670121E-4	2.651273E+1
7.649700E+1	2.004584E+1	2.577028E+1	1.000532E+1	5.724439E+0	2.195399E+1	6.659348E-4	2.382577E-4	-4.631509E-4	2.665071E+1
7.761600E+1	2.004563E+1	2.576826E+1	1.000540E+1	5.722636E+0	2.195317E+1	6.772369E-4	2.392223E-4	-4.402203E-4	2.710302E+1
7.873800E+1	2.004556E+1	2.577042E+1	1.000525E+1	5.724869E+0	2.195384E+1	6.971984E-4	2.392223E-4	-4.060282E-4	2.790188E+1
