Temps(s)	Pc(MPa)	Pax(MPa)	Ppam(MPa)	Q(MPa)	Pmoy(MPa)	Defaxcapt	Defvolfluide	Defvolconf	Deplct(µm)
2.251000E+0	2.004536E+1	2.119161E+1	1.000415E+1	1.146246E+0	2.042745E+1	4.781209E-6	-2.406117E-7	9.298562E-6	1.914874E-1
3.395000E+0	2.004545E+1	2.147085E+1	1.000448E+1	1.425402E+0	2.052059E+1	-4.936955E-6	0.000000E+0	-8.316775E-6	-1.977251E-1
4.519000E+0	2.004536E+1	2.147087E+1	1.000543E+1	1.425501E+0	2.052053E+1	-5.933971E-6	0.000000E+0	-8.335482E-6	-2.376555E-1
5.635000E+0	2.004533E+1	2.146969E+1	1.000474E+1	1.424362E+0	2.052011E+1	-3.509281E-6	-2.406117E-7	-3.575717E-6	-1.405467E-1
6.757000E+0	2.004526E+1	2.146978E+1	1.000531E+1	1.424513E+0	2.052010E+1	7.181517E-6	0.000000E+0	1.543800E-5	2.876198E-1
7.904000E+0	2.004517E+1	2.175466E+1	1.000506E+1	1.709486E+0	2.061500E+1	1.010549E-5	0.000000E+0	2.199588E-5	4.047248E-1
9.021000E+0	2.004514E+1	2.175056E+1	1.000518E+1	1.705418E+0	2.061361E+1	2.502269E-5	-2.406117E-7	4.755944E-5	1.002159E+0
1.015400E+1	2.004531E+1	2.175528E+1	1.000530E+1	1.709968E+0	2.061530E+1	3.517126E-5	0.000000E+0	6.092357E-5	1.408609E+0
1.127800E+1	2.004539E+1	2.203651E+1	1.000470E+1	1.991120E+0	2.070909E+1	3.899355E-5	-2.406117E-7	6.570068E-5	1.561692E+0
1.240400E+1	2.004541E+1	2.203572E+1	1.000535E+1	1.990308E+0	2.070885E+1	4.768202E-5	0.000000E+0	7.993459E-5	1.909665E+0
1.358300E+1	2.004540E+1	2.203160E+1	1.000541E+1	1.986193E+0	2.070747E+1	6.197117E-5	0.000000E+0	1.039499E-4	2.481945E+0
1.470400E+1	2.004531E+1	2.203617E+1	1.000456E+1	1.990855E+0	2.070893E+1	7.577596E-5	-2.406117E-7	1.286588E-4	3.034827E+0
1.582500E+1	2.004539E+1	2.203252E+1	1.000541E+1	1.987137E+0	2.070776E+1	8.036466E-5	0.000000E+0	1.347501E-4	3.218604E+0
1.694700E+1	2.004533E+1	2.232554E+1	1.000441E+1	2.280208E+0	2.080540E+1	8.394740E-5	0.000000E+0	1.420041E-4	3.362093E+0
1.806700E+1	2.004545E+1	2.232296E+1	1.000539E+1	2.277504E+0	2.080462E+1	9.748206E-5	-2.406117E-7	1.620535E-4	3.904157E+0
1.918800E+1	2.004541E+1	2.232668E+1	1.000442E+1	2.281274E+0	2.080583E+1	1.019265E-4	0.000000E+0	1.702541E-4	4.082158E+0
2.030400E+1	2.004536E+1	2.260708E+1	1.000541E+1	2.561721E+0	2.089927E+1	1.103892E-4	-2.406117E-7	1.855770E-4	4.421087E+0
2.142400E+1	2.004523E+1	2.260913E+1	1.000406E+1	2.563898E+0	2.089987E+1	1.206103E-4	0.000000E+0	2.049512E-4	4.830442E+0
2.255000E+1	2.004514E+1	2.260387E+1	1.005720E+1	2.558733E+0	2.089805E+1	1.378360E-4	0.000000E+0	2.352690E-4	5.520330E+0
2.368200E+1	2.004540E+1	2.260897E+1	1.005743E+1	2.563568E+0	2.089993E+1	1.533204E-4	2.430178E-5	2.563710E-4	6.140482E+0
2.480900E+1	2.004535E+1	2.260555E+1	1.005757E+1	2.560202E+0	2.089875E+1	1.617340E-4	5.269395E-5	2.712024E-4	6.477447E+0
2.593500E+1	2.004533E+1	2.289494E+1	1.005743E+1	2.849614E+0	2.099520E+1	1.707780E-4	8.469531E-5	2.866110E-4	6.839660E+0
2.707100E+1	2.004518E+1	2.289658E+1	1.000419E+1	2.851400E+0	2.099564E+1	1.775726E-4	1.203058E-4	3.006006E-4	7.111782E+0
2.819700E+1	2.004531E+1	2.289073E+1	1.000522E+1	2.845419E+0	2.099378E+1	1.912511E-4	1.212683E-4	3.211209E-4	7.659607E+0
2.931800E+1	2.004530E+1	2.289664E+1	1.000426E+1	2.851338E+0	2.099575E+1	2.118560E-4	1.212683E-4	3.556362E-4	8.484832E+0
3.043900E+1	2.004546E+1	2.317536E+1	1.000542E+1	3.129894E+0	2.108876E+1	2.153446E-4	1.212683E-4	3.584527E-4	8.624549E+0
3.156400E+1	2.004536E+1	2.318138E+1	1.000444E+1	3.136024E+0	2.109070E+1	2.215989E-4	1.212683E-4	3.706473E-4	8.875034E+0
3.268400E+1	2.004545E+1	2.317523E+1	1.000541E+1	3.129778E+0	2.108871E+1	2.412235E-4	1.212683E-4	4.019091E-4	9.661003E+0
3.380800E+1	2.004529E+1	2.318018E+1	1.000429E+1	3.134895E+0	2.109025E+1	2.503447E-4	1.215089E-4	4.198871E-4	1.002631E+1
3.492900E+1	2.004536E+1	2.346462E+1	1.000492E+1	3.419262E+0	2.118511E+1	2.511974E-4	1.215089E-4	4.202274E-4	1.006046E+1
3.605400E+1	2.004539E+1	2.346941E+1	1.000427E+1	3.424020E+0	2.118673E+1	2.705302E-4	1.215089E-4	4.519770E-4	1.083473E+1
3.717300E+1	2.004544E+1	2.346524E+1	1.000531E+1	3.419801E+0	2.118537E+1	2.841907E-4	1.215089E-4	4.737997E-4	1.138184E+1
3.829300E+1	2.004544E+1	2.346965E+1	1.000434E+1	3.424204E+0	2.118685E+1	2.972799E-4	1.215089E-4	4.954916E-4	1.190606E+1
3.941500E+1	2.004534E+1	2.374681E+1	1.000522E+1	3.701475E+0	2.127916E+1	3.010110E-4	1.215089E-4	5.037177E-4	1.205549E+1
4.054100E+1	2.004517E+1	2.375197E+1	1.000402E+1	3.706798E+0	2.128077E+1	3.139706E-4	1.212683E-4	5.284825E-4	1.257452E+1
4.166600E+1	2.004540E+1	2.374653E+1	1.000510E+1	3.701134E+0	2.127911E+1	3.255637E-4	1.212683E-4	5.435317E-4	1.303883E+1
4.278800E+1	2.004540E+1	2.403711E+1	1.000413E+1	3.991712E+0	2.137597E+1	3.323944E-4	1.215089E-4	5.546142E-4	1.331240E+1
4.390700E+1	2.004532E+1	2.403160E+1	1.000539E+1	3.986279E+0	2.137408E+1	3.462158E-4	1.215089E-4	5.789672E-4	1.386594E+1
4.502800E+1	2.004537E+1	2.403747E+1	1.005628E+1	3.992094E+0	2.137607E+1	3.628543E-4	1.215089E-4	6.057218E-4	1.453231E+1
4.615400E+1	2.004530E+1	2.431437E+1	1.005751E+1	4.269070E+0	2.146832E+1	3.672352E-4	1.446076E-4	6.143884E-4	1.470777E+1
4.731900E+1	2.004540E+1	2.431555E+1	1.000531E+1	4.270156E+0	2.146878E+1	3.821194E-4	1.734810E-4	6.376350E-4	1.530388E+1
4.843900E+1	2.004530E+1	2.432335E+1	1.000445E+1	4.278058E+0	2.147131E+1	3.943711E-4	1.744435E-4	6.600034E-4	1.579456E+1
4.955600E+1	2.004528E+1	2.460756E+1	1.000492E+1	4.562276E+0	2.156604E+1	3.989424E-4	1.744435E-4	6.678436E-4	1.597764E+1
5.067400E+1	2.004537E+1	2.461399E+1	1.000438E+1	4.568621E+0	2.156824E+1	4.159824E-4	1.742028E-4	6.944912E-4	1.666010E+1
5.179300E+1	2.009808E+1	2.457862E+1	1.000537E+1	4.480536E+0	2.159160E+1	4.306931E-4	1.744435E-4	-2.690486E-4	1.724926E+1
5.291100E+1	2.009813E+1	2.486249E+1	1.000445E+1	4.764360E+0	2.168625E+1	4.358221E-4	1.742028E-4	-7.135315E-4	1.745467E+1
