C:\Documents and Settings\Physique des Roches\Mes documents\Jamie\R10\R10-10\trx_10_R10_10_w.DTA
MISTRAS-2001 (r) Location Version 
Version E4.40

Fri Nov 13 09:26:57 2015

 ID     SSSSSSSS.mmmuuun AMP  ABS-ENERGY
  1       58.7068810  47 130.869E+00
  1       58.7202545  47  14.935E+00
  1       58.7368212  46 176.267E+00
  1       58.7568185  47 173.837E+00
  1       58.7668752  48  15.033E+00
  1       58.7802487  47   9.799E+00
  1       58.7968160  45   2.251E+00
  1       58.8101872  46  68.034E+00
  1       58.8268693  48  41.668E+00
  1       58.8402425  47  14.295E+00
  1       58.8569283  46  98.636E+00
  1       58.8768070  46 165.828E+00
  1       58.8868625  47  32.201E+00
  1       58.9002375  47  10.930E+00
  1       58.9168040  46 166.940E+00
  1       58.9334888  45  16.926E+00
  1       58.9468577  47  34.141E+00
  1       58.9602320  46   7.705E+00
  1       58.9769173  46   2.165E+00
  1       58.9969160  45  82.830E+00
  1       59.0068512  47  13.857E+00
  1       59.0268492  47  26.750E+00
  1       59.0368007  46   8.724E+00
  1       59.0568005  46   4.342E+00
  1       59.0668455  47  29.808E+00
  1       59.1268410  45   3.454E+00
  1       59.1468395  46  18.360E+00
  1       59.1635252  46   5.019E+00
  1       60.0167003  45   3.280E+00
  1       60.0266997  45   3.421E+00
  1       60.1166910  45   0.000E+00
  1       60.1867445  45   3.020E+00
  1       60.2766763  45   3.020E+00
  1       60.2967212  44   3.020E+00
  1       60.3166720  46  24.933E+00
  1       60.3234188  44  24.933E+00
  1       60.3366690  46   1.957E+00
  1       60.3567128  46   4.418E+00
  1       60.3767098  46   6.837E+00
  1       60.3833353  46   9.477E+00
  1       60.4167062  45   1.329E+00
  1       60.4233323  45   0.000E+00
  1       60.4367038  46   6.583E+00
  1       60.4567020  46   8.295E+00
  1       60.4833253  46   7.015E+00
  1       60.4866398  45   7.015E+00
  1       60.5033245  45   0.000E+00
  1       60.5200090  46   2.806E+00
  1       60.5366923  46  10.290E+00
  1       60.5566905  47  12.308E+00
  1       60.5600050  45   1.944E+00
  1       60.5766895  45   3.397E+00
  1       60.5966865  46   6.523E+00
  1       60.6166845  46   8.268E+00
  1       60.6233103  46   7.691E+00
  1       60.6366827  46   7.515E+00
  1       60.6566817  46   2.633E+00
  1       60.6766788  45   3.341E+00
  1       60.6833042  46   3.484E+00
  1       60.6966760  46   5.211E+00
  1       60.7100498  44   5.211E+00
  1       60.7366710  46   6.881E+00
  1       60.7466130  44   6.881E+00
  1       60.7566700  46   3.561E+00
  1       60.7766680  45   0.000E+00
  1       60.7966650  46   8.700E+00
  1       60.8032908  45   8.700E+00
  1       60.8166630  46   4.290E+00
  1       60.8366600  45   5.941E+00
  1       60.8566577  47  10.831E+00
  1       60.8632835  46   7.349E+00
  1       60.8766555  46 106.926E+00
  1       60.8900310  46   2.403E+00
  1       60.9100283  44   2.403E+00
  1       60.9232793  45   2.403E+00
  1       60.9366482  46   4.860E+00
  1       60.9566460  47   9.981E+00
  1       60.9766443  47  11.807E+00
  1       60.9900195  45   0.000E+00
  1       60.9966425  46   9.107E+00
  1       61.0166405  46  98.127E+00
  1       61.0366377  47  12.239E+00
  1       61.0432630  47  13.405E+00
  1       61.0566350  47  11.917E+00
  1       61.0766330  46  11.161E+00
  1       61.0966320  46   7.066E+00
  1       61.1032572  46   4.891E+00
  1       61.1166293  47  11.189E+00
  1       61.1333170  44   0.000E+00
  1       61.1500018  45   0.000E+00
  1       61.1632525  45   0.000E+00
  1       61.1766232  47   8.921E+00
  1       61.1899967  46   6.580E+00
  1       61.2099952  46   4.296E+00
  1       61.2299928  46   7.172E+00
  1       61.2366157  46  12.227E+00
  1       61.2566135  46  12.526E+00
  1       61.2733002  45 721.525E-03
  1       61.2966093  46  10.811E+00
  1       61.3099845  45   2.659E+00
  1       61.3366060  46   7.198E+00
  1       69.4597208  50  38.973E+00
  1       69.5429123  45  38.973E+00
  1       75.1831250  43  38.973E+00
  1       75.3164867  45  38.973E+00
  1       75.3231125  46   2.130E+00
  1       75.3364842  45   2.130E+00
  1       75.3564835  45   0.000E+00
  1       75.3664213  45   0.000E+00
  1       75.3931662  45 709.981E-03
  1       75.4067903  46   2.113E+00
  1       75.4364745  46   3.697E+00
  1       75.4564723  46   4.834E+00
  1       75.4764725  45 687.078E-03
  1       75.5164665  46   8.003E+00
  1       75.5364647  46   8.129E+00
  1       75.5531510  46   3.597E+00
  1       75.5564627  46  10.527E+00
  1       75.5698373  45  10.527E+00
  1       75.5964605  46   2.165E+00
  1       75.6564542  46   7.576E+00
  1       75.6764525  47  10.514E+00
  1       75.6898255  45   1.783E+00
  1       75.6964502  46   8.618E+00
  1       75.7131365  45   0.000E+00
  1       75.7265070  46   6.830E+00
  1       75.7431940  45   0.000E+00
  1       75.7564438  46   7.714E+00
  1       75.7764442  45   1.967E+00
  1       75.7865013  46   5.298E+00
  1       75.8164410  45   0.000E+00
  1       75.8264985  46   4.907E+00
  1       75.8331255  45   1.961E+00
  1       75.8764343  46   5.254E+00
  1       75.8831815  46   8.042E+00
  1       75.9264885  46   7.160E+00
  1       75.9331148  46   4.868E+00
  1       75.9631727  45   4.868E+00
  1       75.9864848  45   2.627E+00
  1       76.0064828  46   6.666E+00
  1       76.0264805  46   6.984E+00
  1       76.0431665  45   0.000E+00
  1       76.0664770  46   5.795E+00
  1       76.0831605  46   7.903E+00
  1       76.0864737  45   2.546E+00
  1       76.2165245  45   2.546E+00
  1       76.2431473  46   4.129E+00
  1       76.2464622  45   1.929E+00
  1       76.2631460  45   1.929E+00
  1       76.2765172  46   5.471E+00
  1       76.2965165  46   2.142E+00
  1       76.3132020  45   2.056E+00
  1       76.3765087  45 664.734E-03
  1       76.3965068  45   0.000E+00
  1       76.4165057  45   0.000E+00
  1       76.5964898  45   0.000E+00
  1       76.6764825  45   0.000E+00
  1       76.7364785  44   0.000E+00
  1       76.8165427  45   2.474E+00
  1       76.8465285  44   0.000E+00
  1       76.9865240  45   0.000E+00
  1       77.0831922  44   0.000E+00
  1       78.2765810  45   0.000E+00
  1       78.4466260  44   0.000E+00
  1       78.5666147  45   0.000E+00
  1       78.6166695  44   0.000E+00
  1       78.6766633  45 698.436E-03
  1       78.6966610  46   7.703E+00
  1       78.7166598  46   4.960E+00
  1       78.7366595  45   0.000E+00
  1       78.7966525  45   0.000E+00
  1       78.8766447  46   5.621E+00
  1       78.8966440  45   2.681E+00
  1       78.9166438  45   2.681E+00
  1       82.2769488  45   2.681E+00
  1       82.2969475  45   2.681E+00
  1       84.7872728  44   2.681E+00
  1       84.8439537  45 664.734E-03
  1       84.8773233  46   3.585E+00
  1       84.8940095  45 709.981E-03
  1       84.8973213  46   3.518E+00
  1       84.9173190  46   3.898E+00
  1       84.9373178  46   4.237E+00
  1       84.9573152  46   7.421E+00
  1       84.9773127  46   9.919E+00
  1       84.9973112  47  10.273E+00
  1       85.0139968  46   5.647E+00
  1       85.0240590  45   0.000E+00
  1       85.0573072  46   5.541E+00
  1       85.0640550  45   5.541E+00
  1       85.0773050  46   6.094E+00
  1       85.0939905  46   3.556E+00
  1       85.1040515  44   3.556E+00
  1       85.1240492  45   2.414E+00
  1       85.1372995  47   8.447E+00
  1       85.1572998  45   2.102E+00
  1       85.1673560  47  70.398E+00
  1       85.1807310  45   0.000E+00
  1       85.2040413  46   6.107E+00
  1       85.2174138  45   2.214E+00
  1       85.2240388  46   7.387E+00
  1       85.2440365  46   7.524E+00
  1       85.2607240  45   2.039E+00
  1       85.2740965  45   0.000E+00
  1       85.2840332  45   1.951E+00
  1       85.2974055  45   1.951E+00
  1       85.3174023  46   7.804E+00
  1       85.3273435  46   4.589E+00
  1       85.3574002  45   1.403E+00
  1       85.3640267  46   2.241E+00
  1       85.3873382  45   1.934E+00
  1       85.4173943  46   3.863E+00
  1       85.4373915  46   9.036E+00
  1       85.4440185  46   6.666E+00
  1       85.4573900  46   5.707E+00
  1       85.4773895  46   2.421E+00
  1       85.4940747  46   4.919E+00
  1       85.5140742  45 715.753E-03
  1       85.5173855  45 670.320E-03
  1       85.5373835  45   2.136E+00
  1       85.5573807  46   8.727E+00
  1       85.5773795  46   8.718E+00
  1       85.5940653  45 659.148E-03
  1       85.5973800  45   0.000E+00
  1       85.6140655  45   0.000E+00
  1       85.6307513  45   0.000E+00
  1       85.6540612  45 687.078E-03
  1       85.6573730  46   9.285E+00
  1       85.6773718  46   8.710E+00
  1       85.6973713  45   1.989E+00
  1       85.7074285  45   2.491E+00
  1       85.7173703  44   2.491E+00
  1       85.7340515  47  10.896E+00
  1       85.7573663  46   3.051E+00
  1       85.7641110  46   7.722E+00
  1       85.7841097  45   1.352E+00
  1       85.8074197  46   2.170E+00
  1       85.8274195  46   1.467E+00
  1       85.8441043  46   5.122E+00
  1       85.8641032  45   0.000E+00
  1       85.8841003  46   4.353E+00
  1       85.8874122  45   2.812E+00
  1       85.9040988  46   5.136E+00
  1       85.9240963  46   4.386E+00
  1       85.9374667  46   6.322E+00
  1       85.9474098  46   3.808E+00
  1       85.9674155  46   3.567E+00
  1       85.9774165  45  25.645E+00
  1       86.0007790  45  25.645E+00
  1       86.0275230  43  25.645E+00
  1       86.0574565  46   9.533E+00
  1       86.0774557  46   6.848E+00
  1       86.1374498  46   7.630E+00
  1       86.1574492  46   2.933E+00
  1       86.1974440  46   8.405E+00
  1       86.2541272  45   8.405E+00
  1       86.2574400  45   8.405E+00
  1       87.2775223  45   8.405E+00
  1       87.3075300  45   8.405E+00
  1       87.3275287  46   4.330E+00
  1       87.6675437  45   4.330E+00
  1       87.7875317  45   4.330E+00
  1       88.0375662  44   4.330E+00
  1       94.7181340  45   0.000E+00
  1       94.7381333  45 659.148E-03
  1       94.7781277  46   3.028E+00
  1       94.7981255  46   6.909E+00
  1       94.8181245  46  10.003E+00
  1       94.8281840  45  10.003E+00
  1       94.8381230  47   8.660E+00
  1       94.8548090  46   1.414E+00
  1       94.8681805  46   5.736E+00
  1       94.8914930  45 692.850E-03
  1       94.8981198  45 698.436E-03
  1       94.9114910  46   2.136E+00
  1       94.9281745  46   4.458E+00
  1       94.9448623  45 774.592E-03
  1       94.9615472  45 774.592E-03
  1       94.9815452  46   3.518E+00
  1       94.9881685  46   5.174E+00
  1       95.0015427  46   2.340E+00
  1       95.0215417  45 704.208E-03
  1       95.0681627  46   4.011E+00
  1       95.0815360  45 992.260E-03
  1       95.0881610  46   1.691E+00
  1       95.1081602  45  11.831E+00
  1       95.1182185  44   0.000E+00
  1       95.1382160  45   0.000E+00
  1       95.1448448  45  38.577E+00
  1       95.1582130  46   4.293E+00
  1       95.1915867  45 733.069E-03
  1       95.2048367  46   3.058E+00
  1       95.2182080  47   3.466E+00
  1       95.2315820  46   2.886E+00
  1       95.2485180  45   0.000E+00
  1       95.2748917  45 698.436E-03
  1       95.2782030  46   2.933E+00
  1       95.3315730  46   1.461E+00
  1       95.3515713  45   1.455E+00
  1       95.4181913  45   1.455E+00
  1       95.4423650  49  68.335E+00
  1       95.4457393  55 773.951E+00
  1       95.4682468  46 774.592E-03
  1       96.8884145  46   2.727E+00
  1       97.0084045  45 709.981E-03
  1       97.0551452  46   5.963E+00
