Temps(s)	Pc(MPa)	Pax(MPa)	Ppam(MPa)	Q(MPa)	Pmoy(MPa)	Defaxcapt	Defvolfluide	Defvolconf	Deplct(µm)
1.870000E+0	3.630192E+0	3.685680E+0	1.496095E+0	5.548766E-2	3.648688E+0	3.479038E-6	-3.056776E-5	3.234308E-4	1.387440E-1
2.989000E+0	3.683903E+0	3.683838E+0	1.495445E+0	-6.522821E-5	3.683881E+0	3.287146E-7	-7.593419E-5	-4.651331E-4	1.310914E-2
4.109000E+0	3.683761E+0	3.859325E+0	1.496255E+0	1.755637E-1	3.742282E+0	-4.290327E-6	-1.450755E-4	2.432919E-4	-1.710982E-1
5.229000E+0	3.737580E+0	3.859296E+0	1.495561E+0	1.217167E-1	3.778152E+0	-1.931233E-6	-2.367788E-4	-1.247168E-5	-7.701758E-2
6.346000E+0	3.790188E+0	3.858721E+0	1.496015E+0	6.853277E-2	3.813032E+0	-4.310854E-6	-3.515292E-4	-3.507938E-4	-1.719169E-1
7.464000E+0	3.790179E+0	3.858721E+0	1.495588E+0	6.854160E-2	3.813027E+0	-7.053413E-6	-4.902971E-4	7.333527E-4	-2.812901E-1
8.583000E+0	3.896099E+0	4.031475E+0	1.496060E+0	1.353754E-1	3.941224E+0	-1.110778E-5	-6.518695E-4	-3.631332E-4	-4.429784E-1
9.703000E+0	3.949214E+0	4.031906E+0	1.548276E+0	8.269163E-2	3.976778E+0	-2.132808E-5	-8.360039E-4	-6.945352E-4	-8.505639E-1
1.082300E+1	4.003397E+0	4.030294E+0	1.548276E+0	2.689731E-2	4.012363E+0	-2.600654E-5	-1.023292E-3	-1.370194E-3	-1.037141E+0
1.194100E+1	4.003255E+0	4.031992E+0	1.548205E+0	2.873728E-2	4.012834E+0	-2.406772E-5	-1.231686E-3	-1.344606E-3	-9.598207E-1
1.306100E+1	4.003344E+0	4.029921E+0	1.601543E+0	2.657645E-2	4.012203E+0	-2.328622E-5	-1.464584E-3	-1.347052E-3	-9.286543E-1
1.418100E+1	4.003362E+0	4.031618E+0	1.601481E+0	2.825594E-2	4.012781E+0	-2.526628E-5	-1.698936E-3	-1.347258E-3	-1.007619E+0
1.530100E+1	4.003211E+0	4.030179E+0	1.600609E+0	2.696892E-2	4.012200E+0	-2.946693E-5	-1.956094E-3	-1.343753E-3	-1.175141E+0
1.642100E+1	4.003317E+0	4.031359E+0	1.601508E+0	2.804180E-2	4.012665E+0	-2.230558E-5	-2.236056E-3	-1.346150E-3	-8.895465E-1
1.753800E+1	4.003353E+0	4.031042E+0	1.600956E+0	2.768976E-2	4.012583E+0	-1.655147E-5	-2.537366E-3	-1.347022E-3	-6.600727E-1
1.869900E+1	4.003371E+0	4.030784E+0	1.653751E+0	2.741294E-2	4.012508E+0	-2.087313E-5	-2.876765E-3	-1.347712E-3	-8.324204E-1
1.981700E+1	4.003300E+0	4.031618E+0	1.654516E+0	2.831841E-2	4.012739E+0	-2.265648E-5	-3.204762E-3	-1.346199E-3	-9.035406E-1
2.093900E+1	4.003175E+0	4.031848E+0	1.708709E+0	2.867304E-2	4.012733E+0	-2.484938E-5	-3.557747E-3	-1.343124E-3	-9.909934E-1
2.206000E+1	4.003335E+0	4.030554E+0	1.708539E+0	2.721852E-2	4.012408E+0	-1.566605E-5	-3.913401E-3	-1.346829E-3	-6.247621E-1
2.318200E+1	4.003291E+0	4.031129E+0	1.760819E+0	2.783833E-2	4.012570E+0	-2.482957E-5	-4.288705E-3	-1.345733E-3	-9.902034E-1
2.430200E+1	4.003335E+0	4.031042E+0	1.760676E+0	2.770740E-2	4.012571E+0	-2.290267E-5	-4.665950E-3	-1.347071E-3	-9.133587E-1
