Temps(s)	Pc(MPa)	Pax(MPa)	Ppam(MPa)	Q(MPa)	Pmoy(MPa)	Defaxcapt	Defvolfluide	Defvolconf	Deplct(µm)
2.311000E+0	5.999330E+1	6.163509E+1	1.000483E+1	1.641786E+0	6.054056E+1	6.689722E-6	0.000000E+0	6.714600E-6	2.667861E-1
3.433000E+0	5.999323E+1	6.163545E+1	1.000585E+1	1.642225E+0	6.054064E+1	-1.028594E-5	0.000000E+0	-2.056382E-5	-4.102034E-1
4.560000E+0	5.999317E+1	6.163418E+1	1.000586E+1	1.641013E+0	6.054017E+1	1.715821E-6	0.000000E+0	5.076202E-7	6.842693E-2
5.685000E+0	5.999310E+1	6.192149E+1	1.000577E+1	1.928394E+0	6.063589E+1	-2.646201E-6	0.000000E+0	-5.645266E-6	-1.055305E-1
6.806000E+0	6.004747E+1	6.188489E+1	1.000502E+1	1.837416E+0	6.065994E+1	6.052439E-6	0.000000E+0	-8.456459E-4	2.413713E-1
7.927000E+0	5.999298E+1	6.192126E+1	1.000601E+1	1.928283E+0	6.063574E+1	1.579888E-5	0.000000E+0	2.706691E-5	6.300594E-1
9.044000E+0	5.999292E+1	6.192174E+1	1.000479E+1	1.928819E+0	6.063586E+1	2.252446E-5	0.000000E+0	3.924104E-5	8.982755E-1
1.016100E+1	5.999310E+1	6.192197E+1	1.000599E+1	1.928863E+0	6.063606E+1	3.542985E-5	0.000000E+0	6.091501E-5	1.412943E+0
1.128200E+1	6.004683E+1	6.216907E+1	1.000464E+1	2.122243E+0	6.075424E+1	4.022834E-5	0.000000E+0	-7.750057E-4	1.604306E+0
1.239900E+1	6.004661E+1	6.217828E+1	1.000556E+1	2.131674E+0	6.075717E+1	4.712239E-5	0.000000E+0	-7.599211E-4	1.879241E+0
1.352100E+1	6.004657E+1	6.216652E+1	1.000454E+1	2.119945E+0	6.075322E+1	6.747867E-5	0.000000E+0	-7.252694E-4	2.691049E+0
1.464600E+1	6.004660E+1	6.217613E+1	1.000562E+1	2.129525E+0	6.075644E+1	7.428367E-5	0.000000E+0	-7.143068E-4	2.962433E+0
1.576500E+1	6.004737E+1	6.245019E+1	1.000487E+1	2.402813E+0	6.084831E+1	7.725016E-5	0.000000E+0	-7.219397E-4	3.080737E+0
