Temps(s)	Pc(MPa)	Pax(MPa)	Ppam(MPa)	Q(MPa)	Pmoy(MPa)	Defaxcapt	Defvolfluide	Defvolconf	Deplct(µm)
1.875000E+0	4.968055E+0	4.559078E+0	1.393919E+0	-4.089770E-1	4.831730E+0	-4.541872E-6	-4.264591E-5	1.941422E-3	-1.816749E-1
2.992000E+0	5.021260E+0	4.560546E+0	1.393696E+0	-4.607146E-1	4.867689E+0	-8.525188E-6	-9.796374E-5	1.480930E-3	-3.410075E-1
4.113000E+0	5.074910E+0	4.559165E+0	1.394007E+0	-5.157456E-1	4.902995E+0	-6.996626E-6	-1.652224E-4	8.265953E-4	-2.798650E-1
5.232000E+0	5.075106E+0	4.390409E+0	1.393892E+0	-6.846974E-1	4.846874E+0	-2.044366E-7	-2.436909E-4	1.352411E-3	-8.177464E-3
6.352000E+0	5.127778E+0	4.389431E+0	1.393919E+0	-7.383469E-1	4.881662E+0	-2.426109E-6	-3.336128E-4	7.171279E-4	-9.704438E-2
7.471000E+0	5.127875E+0	4.390351E+0	1.393830E+0	-7.375239E-1	4.882034E+0	-1.265524E-6	-4.357193E-4	1.265404E-3	-5.062094E-2
8.591000E+0	5.181329E+0	4.560977E+0	1.393972E+0	-6.203520E-1	4.974545E+0	-6.575075E-6	-5.492793E-4	6.303660E-4	-2.630030E-1
9.711000E+0	5.181330E+0	4.560546E+0	1.393474E+0	-6.207835E-1	4.974402E+0	-6.957781E-6	-6.742927E-4	1.195717E-3	-2.783112E-1
1.083000E+1	5.234659E+0	4.560719E+0	1.393919E+0	-6.739403E-1	5.010012E+0	-9.637614E-6	-8.110033E-4	7.110493E-4	-3.855045E-1
1.195000E+1	5.288701E+0	4.560690E+0	1.393358E+0	-7.280108E-1	5.046030E+0	-1.761471E-5	-9.594110E-4	2.942816E-5	-7.045885E-1
1.306900E+1	5.288878E+0	4.560863E+0	1.393937E+0	-7.280157E-1	5.046207E+0	-1.710063E-5	-1.119516E-3	4.453744E-4	-6.840253E-1
1.418500E+1	5.288878E+0	4.558819E+0	1.393465E+0	-7.300587E-1	5.045525E+0	-1.961906E-5	-1.290587E-3	1.025857E-3	-7.847624E-1
1.530400E+1	5.342065E+0	4.560344E+0	1.393981E+0	-7.817212E-1	5.081491E+0	-1.851983E-5	-1.474330E-3	5.327552E-4	-7.407932E-1
1.642200E+1	5.342198E+0	4.558502E+0	1.393927E+0	-7.836960E-1	5.080966E+0	-1.365514E-5	-1.668552E-3	1.139346E-3	-5.462055E-1
1.754000E+1	5.395750E+0	4.560056E+0	1.393821E+0	-8.356944E-1	5.117185E+0	-2.128599E-5	-1.875201E-3	3.809971E-4	-8.514396E-1
1.865800E+1	5.449729E+0	4.560228E+0	1.393785E+0	-8.895007E-1	5.153229E+0	-2.747649E-5	-2.092817E-3	-1.910294E-4	-1.099060E+0
1.977400E+1	5.449641E+0	4.560372E+0	1.445406E+0	-8.892683E-1	5.153218E+0	-3.317340E-5	-2.321887E-3	2.722310E-4	-1.326936E+0
2.089300E+1	5.502000E+0	4.560143E+0	1.446145E+0	-9.418578E-1	5.188048E+0	-3.854073E-5	-2.542427E-3	-2.624724E-4	-1.541629E+0
2.201300E+1	5.501769E+0	4.559912E+0	1.445504E+0	-9.418567E-1	5.187817E+0	-3.871788E-5	-2.773933E-3	2.275940E-4	-1.548715E+0
2.313300E+1	5.554432E+0	4.560286E+0	1.446083E+0	-9.941455E-1	5.223050E+0	-3.201548E-5	-3.017868E-3	-3.618874E-4	-1.280619E+0
2.425300E+1	5.554512E+0	4.559106E+0	1.499377E+0	-9.954052E-1	5.222710E+0	-3.432018E-5	-3.270332E-3	1.431960E-4	-1.372807E+0
2.537200E+1	5.607752E+0	4.560459E+0	1.500035E+0	-1.047294E+0	5.258654E+0	-2.879692E-5	-3.516703E-3	-3.878248E-4	-1.151877E+0
2.649200E+1	5.607708E+0	4.558560E+0	1.499386E+0	-1.049148E+0	5.257992E+0	-3.044766E-5	-3.771848E-3	1.371095E-4	-1.217906E+0
2.761300E+1	5.661421E+0	4.560747E+0	1.500169E+0	-1.100674E+0	5.294530E+0	-3.600473E-5	-4.040151E-3	-2.111282E-4	-1.440189E+0
2.873300E+1	5.661447E+0	4.558675E+0	1.551763E+0	-1.102772E+0	5.293856E+0	-3.351607E-5	-4.318934E-3	3.261171E-4	-1.340643E+0
2.985100E+1	5.715373E+0	4.560690E+0	1.552333E+0	-1.154683E+0	5.330479E+0	-3.006496E-5	-4.587725E-3	-1.673946E-4	-1.202598E+0
3.097100E+1	5.715444E+0	4.559107E+0	1.552155E+0	-1.156337E+0	5.329998E+0	-2.948328E-5	-4.867725E-3	3.815305E-4	-1.179331E+0
3.209100E+1	5.768676E+0	4.560862E+0	1.605413E+0	-1.207814E+0	5.366071E+0	-3.016228E-5	-5.161617E-3	-2.342248E-4	-1.206491E+0
3.322000E+1	5.768471E+0	4.558934E+0	1.604764E+0	-1.209537E+0	5.365292E+0	-3.170466E-5	-5.445517E-3	3.416433E-4	-1.268186E+0
3.434600E+1	5.822316E+0	4.560833E+0	1.605395E+0	-1.261483E+0	5.401822E+0	-3.158361E-5	-5.740139E-3	-1.484627E-4	-1.263344E+0
3.546600E+1	5.822334E+0	4.557869E+0	1.657506E+0	-1.264465E+0	5.400845E+0	-2.727468E-5	-6.046702E-3	4.384316E-4	-1.090987E+0
3.659000E+1	5.875601E+0	4.560257E+0	1.658084E+0	-1.315344E+0	5.437153E+0	-2.412544E-5	-6.341812E-3	-6.606740E-5	-9.650176E-1
3.771000E+1	5.929269E+0	4.558444E+0	1.658218E+0	-1.370825E+0	5.472327E+0	-3.132193E-5	-6.647400E-3	-6.281243E-4	-1.252877E+0
3.882900E+1	5.929411E+0	4.560660E+0	1.712677E+0	-1.368751E+0	5.473161E+0	-3.224559E-5	-6.965417E-3	-2.079132E-4	-1.289824E+0
3.994600E+1	5.982047E+0	4.558818E+0	1.712722E+0	-1.423229E+0	5.507637E+0	-2.732606E-5	-7.272467E-3	-7.834268E-4	-1.093042E+0
4.106800E+1	5.982331E+0	4.560573E+0	1.764512E+0	-1.421758E+0	5.508412E+0	-2.812166E-5	-7.591215E-3	-7.703455E-4	-1.124866E+0
4.218500E+1	5.981975E+0	4.559739E+0	1.764530E+0	-1.422237E+0	5.507896E+0	-2.949771E-5	-7.898265E-3	-7.628686E-4	-1.179908E+0
4.330300E+1	5.982242E+0	4.560199E+0	1.816560E+0	-1.422043E+0	5.508227E+0	-3.309604E-5	-8.217013E-3	-7.686461E-4	-1.323842E+0
4.441900E+1	5.982268E+0	4.560544E+0	1.817388E+0	-1.421724E+0	5.508360E+0	-3.484587E-5	-8.527719E-3	-7.689812E-4	-1.393835E+0
4.554100E+1	5.982046E+0	4.560228E+0	1.816507E+0	-1.421818E+0	5.508107E+0	-3.489997E-5	-8.848903E-3	-7.641649E-4	-1.395999E+0
4.665700E+1	5.982234E+0	4.560228E+0	1.869926E+0	-1.422006E+0	5.508232E+0	-3.787763E-5	-9.181542E-3	-7.684808E-4	-1.515105E+0
4.777400E+1	5.982563E+0	4.558991E+0	1.924652E+0	-1.423572E+0	5.508039E+0	-3.105228E-5	-9.566329E-3	-7.756122E-4	-1.242091E+0
4.910600E+1	5.982554E+0	4.560660E+0	1.924581E+0	-1.421894E+0	5.508590E+0	-3.395486E-5	-9.877766E-3	-7.751825E-4	-1.358195E+0
5.027900E+1	5.982581E+0	4.561120E+0	1.977297E+0	-1.421460E+0	5.508761E+0	-3.702334E-5	-1.021723E-2	-7.757509E-4	-1.480934E+0
5.147000E+1	5.929598E+0	4.560602E+0	1.976363E+0	-1.368996E+0	5.473266E+0	-2.718711E-5	-1.055328E-2	3.726497E-4	-1.087484E+0
5.259800E+1	5.929482E+0	4.560861E+0	2.030893E+0	-1.368621E+0	5.473275E+0	-3.016877E-5	-1.088007E-2	8.203845E-4	-1.206751E+0
5.372300E+1	5.982091E+0	4.560285E+0	2.029692E+0	-1.421806E+0	5.508156E+0	-2.846311E-5	-1.119760E-2	3.007675E-4	-1.138525E+0
5.509400E+1	5.982046E+0	4.560889E+0	2.083324E+0	-1.421157E+0	5.508327E+0	-2.842191E-5	-1.159944E-2	3.258644E-4	-1.136876E+0
5.621900E+1	5.982046E+0	4.561091E+0	2.084205E+0	-1.420955E+0	5.508394E+0	-2.723140E-5	-1.191941E-2	3.258644E-4	-1.089256E+0
5.733700E+1	5.982233E+0	4.559566E+0	2.084161E+0	-1.422667E+0	5.508010E+0	-2.661828E-5	-1.225180E-2	3.218233E-4	-1.064731E+0
5.845400E+1	5.981984E+0	4.559882E+0	2.137980E+0	-1.422101E+0	5.507950E+0	-3.089729E-5	-1.259516E-2	3.272184E-4	-1.235891E+0
5.957500E+1	5.982456E+0	4.558933E+0	2.190091E+0	-1.423523E+0	5.507949E+0	-2.965848E-5	-1.292805E-2	3.169760E-4	-1.186339E+0
6.069500E+1	5.982625E+0	4.560660E+0	2.189992E+0	-1.421965E+0	5.508637E+0	-2.992606E-5	-1.325167E-2	3.133172E-4	-1.197042E+0
6.181000E+1	5.982500E+0	4.559019E+0	2.242877E+0	-1.423481E+0	5.508007E+0	-2.992070E-5	-1.358601E-2	3.160251E-4	-1.196828E+0
6.292900E+1	5.982545E+0	4.560890E+0	2.241890E+0	-1.421655E+0	5.508660E+0	-3.006925E-5	-1.390963E-2	3.150536E-4	-1.202770E+0
6.404800E+1	5.982580E+0	4.559278E+0	2.295370E+0	-1.423302E+0	5.508146E+0	-3.177293E-5	-1.424495E-2	3.140451E-4	-1.270917E+0
6.516900E+1	5.982571E+0	4.560861E+0	2.294356E+0	-1.421710E+0	5.508668E+0	-2.990005E-5	-1.457150E-2	3.142414E-4	-1.196002E+0
6.628700E+1	5.982616E+0	4.561091E+0	2.349474E+0	-1.421525E+0	5.508774E+0	-3.387384E-5	-1.490925E-2	3.132699E-4	-1.354953E+0
6.740400E+1	5.982482E+0	4.560919E+0	2.348522E+0	-1.421564E+0	5.508628E+0	-3.000193E-5	-1.523434E-2	3.161638E-4	-1.200077E+0
6.852400E+1	5.982580E+0	4.561091E+0	2.401736E+0	-1.421489E+0	5.508750E+0	-2.887184E-5	-1.557331E-2	3.140451E-4	-1.154873E+0
6.964300E+1	5.982571E+0	4.559940E+0	2.455163E+0	-1.422631E+0	5.508361E+0	-3.438642E-5	-1.590132E-2	3.142414E-4	-1.375457E+0
7.076000E+1	5.982624E+0	4.560889E+0	2.455137E+0	-1.421735E+0	5.508713E+0	-3.163126E-5	-1.621860E-2	3.130942E-4	-1.265250E+0
7.187800E+1	5.982624E+0	4.559019E+0	2.455137E+0	-1.423605E+0	5.508089E+0	-3.232675E-5	-1.654637E-2	3.130942E-4	-1.293070E+0
