Temps(s)	Pc(MPa)	Pax(MPa)	Ppam(MPa)	Q(MPa)	Pmoy(MPa)	Defaxcapt	Defvolfluide	Defvolconf	Deplct(µm)
2.223000E+0	1.999056E+1	2.150542E+1	9.950975E+0	1.514868E+0	2.049551E+1	4.215128E-6	0.000000E+0	7.332667E-6	1.689297E-1
3.372000E+0	1.999023E+1	2.150583E+1	9.950832E+0	1.515606E+0	2.049543E+1	-9.617121E-7	0.000000E+0	4.665255E-6	-3.854254E-2
4.497000E+0	1.999019E+1	2.150595E+1	9.950885E+0	1.515760E+0	2.049545E+1	4.452137E-6	0.000000E+0	1.434086E-5	1.784283E-1
5.618000E+0	1.999012E+1	2.150562E+1	9.950734E+0	1.515498E+0	2.049529E+1	2.007667E-6	0.000000E+0	1.158492E-5	8.046127E-2
6.738000E+0	1.999013E+1	2.150532E+1	9.949881E+0	1.515194E+0	2.049519E+1	3.741150E-6	0.000000E+0	1.429921E-5	1.499341E-1
7.881000E+0	1.999062E+1	2.150217E+1	9.950155E+0	1.511553E+0	2.049447E+1	8.576509E-6	-1.080411E-5	1.348931E-5	3.437207E-1
9.004000E+0	1.999066E+1	2.178879E+1	9.951268E+0	1.798127E+0	2.059004E+1	3.104169E-6	-1.104420E-5	3.543159E-6	1.244058E-1
1.012600E+1	1.999047E+1	2.178398E+1	9.950165E+0	1.793517E+0	2.058831E+1	1.566891E-6	-1.104420E-5	7.430040E-6	6.279630E-2
1.124600E+1	1.999058E+1	2.207084E+1	9.950930E+0	2.080261E+0	2.068400E+1	7.099526E-6	-1.104420E-5	1.429339E-5	2.845277E-1
1.236300E+1	1.999052E+1	2.206691E+1	9.951286E+0	2.076387E+0	2.068265E+1	1.706177E-5	-1.104420E-5	3.223537E-5	6.837845E-1
1.348400E+1	1.999055E+1	2.235915E+1	9.950788E+0	2.368600E+0	2.078008E+1	2.735332E-5	-1.128429E-5	4.889301E-5	1.096239E+0
1.460600E+1	1.999062E+1	2.235604E+1	9.950949E+0	2.365414E+0	2.077909E+1	3.463049E-5	-1.128429E-5	5.969866E-5	1.387886E+0
1.572700E+1	1.999002E+1	2.236051E+1	9.950860E+0	2.370495E+0	2.078018E+1	5.535841E-5	-1.128429E-5	1.049608E-4	2.218599E+0
1.686200E+1	1.999048E+1	2.263482E+1	9.950174E+0	2.644344E+0	2.087193E+1	6.424430E-5	-1.128429E-5	1.116226E-4	2.574719E+0
1.798600E+1	1.999058E+1	2.264123E+1	9.951295E+0	2.650652E+0	2.087413E+1	8.057637E-5	-1.128429E-5	1.370607E-4	3.229259E+0
1.910600E+1	1.999050E+1	2.292164E+1	1.000395E+1	2.931142E+0	2.096755E+1	8.556221E-5	-1.104420E-5	1.466812E-4	3.429077E+0
2.022500E+1	1.999063E+1	2.292769E+1	1.000500E+1	2.937055E+0	2.096965E+1	1.072313E-4	-1.104420E-5	1.801457E-4	4.297510E+0
2.134400E+1	2.004529E+1	2.317029E+1	1.000397E+1	3.124998E+0	2.108696E+1	1.174678E-4	-1.104420E-5	-7.292917E-4	4.707757E+0
2.246400E+1	2.004526E+1	2.317597E+1	1.000504E+1	3.130712E+0	2.108883E+1	1.299069E-4	-1.104420E-5	-7.079302E-4	5.206278E+0
2.358200E+1	2.004528E+1	2.346356E+1	1.000500E+1	3.418279E+0	2.118471E+1	1.326786E-4	-1.104420E-5	-7.035369E-4	5.317362E+0
2.469900E+1	1.999066E+1	2.350151E+1	1.000472E+1	3.510851E+0	2.116094E+1	1.546860E-4	-1.104420E-5	2.590490E-4	6.199349E+0
2.581700E+1	2.004521E+1	2.374647E+1	1.000502E+1	3.701260E+0	2.127897E+1	1.611855E-4	-1.104420E-5	-6.550097E-4	6.459830E+0
2.693500E+1	2.004522E+1	2.374599E+1	1.000409E+1	3.700765E+0	2.127881E+1	1.724473E-4	-1.128429E-5	-6.366695E-4	6.911171E+0
2.805200E+1	2.004520E+1	2.374653E+1	1.000503E+1	3.701321E+0	2.127898E+1	1.886458E-4	-1.128429E-5	-6.090912E-4	7.560359E+0
2.917600E+1	2.004524E+1	2.403095E+1	1.000421E+1	3.985706E+0	2.137381E+1	1.981520E-4	-1.128429E-5	-5.941748E-4	7.941339E+0
3.030000E+1	2.004537E+1	2.403134E+1	1.000492E+1	3.985964E+0	2.137403E+1	2.099093E-4	-1.128429E-5	-5.768123E-4	8.412534E+0
3.142800E+1	2.004519E+1	2.431490E+1	1.000486E+1	4.269714E+0	2.146842E+1	2.176520E-4	-1.104420E-5	-5.604195E-4	8.722841E+0
3.255400E+1	2.004515E+1	2.430860E+1	1.000498E+1	4.263450E+0	2.146630E+1	2.298232E-4	-1.104420E-5	-5.397087E-4	9.210624E+0
3.368000E+1	2.004527E+1	2.431638E+1	1.000491E+1	4.271116E+0	2.146897E+1	2.413325E-4	-1.104420E-5	-5.224737E-4	9.671884E+0
3.480200E+1	2.004531E+1	2.460171E+1	1.000496E+1	4.556397E+0	2.156411E+1	2.500275E-4	-1.104420E-5	-5.090513E-4	1.002035E+1
3.592400E+1	2.004509E+1	2.460650E+1	1.005699E+1	4.561416E+0	2.156556E+1	2.620678E-4	-1.128429E-5	-4.846180E-4	1.050289E+1
3.710000E+1	2.004527E+1	2.488959E+1	1.005699E+1	4.844320E+0	2.166004E+1	2.760155E-4	1.392530E-5	-4.649432E-4	1.106187E+1
3.822900E+1	2.004517E+1	2.489013E+1	1.005704E+1	4.844961E+0	2.166016E+1	2.904738E-4	4.177590E-5	-4.388010E-4	1.164132E+1
3.939700E+1	2.004525E+1	2.517769E+1	1.005696E+1	5.132438E+0	2.175606E+1	2.964192E-4	7.418823E-5	-4.304317E-4	1.187959E+1
4.051600E+1	2.004512E+1	2.517816E+1	1.005710E+1	5.133041E+0	2.175613E+1	3.133281E-4	1.085213E-4	-4.000457E-4	1.255725E+1
4.169500E+1	2.004515E+1	2.517416E+1	1.000383E+1	5.129018E+0	2.175482E+1	3.207378E-4	1.483765E-4	-3.879628E-4	1.285421E+1
4.282000E+1	2.004518E+1	2.546534E+1	1.000495E+1	5.420165E+0	2.185190E+1	3.246283E-4	1.498170E-4	-3.825692E-4	1.301013E+1
4.394100E+1	2.004525E+1	2.545878E+1	1.000395E+1	5.413530E+0	2.184976E+1	3.398661E-4	1.498170E-4	-3.584720E-4	1.362082E+1
4.505800E+1	2.004517E+1	2.575142E+1	9.951322E+0	5.706253E+0	2.194725E+1	3.448943E-4	1.498170E-4	-3.485986E-4	1.382233E+1
4.617900E+1	2.004521E+1	2.574588E+1	9.949711E+0	5.700669E+0	2.194543E+1	3.600183E-4	1.498170E-4	-3.241916E-4	1.442845E+1
4.731000E+1	2.004506E+1	2.602970E+1	9.950992E+0	5.984643E+0	2.203994E+1	3.617702E-4	1.466958E-4	-3.184911E-4	1.449866E+1
4.843500E+1	2.004510E+1	2.603034E+1	9.993831E+0	5.985242E+0	2.204018E+1	3.779086E-4	1.462156E-4	-2.923946E-4	1.514544E+1
4.955800E+1	2.004530E+1	2.603041E+1	1.000507E+1	5.985106E+0	2.204033E+1	3.822017E-4	1.462156E-4	-2.889535E-4	1.531750E+1
5.068100E+1	2.004520E+1	2.631400E+1	1.000477E+1	6.268802E+0	2.213480E+1	3.919108E-4	1.462156E-4	-2.709620E-4	1.570661E+1
5.180300E+1	2.004511E+1	2.659957E+1	1.000486E+1	6.554454E+0	2.222993E+1	4.020972E-4	1.462156E-4	-2.523182E-4	1.611485E+1
5.292700E+1	2.004523E+1	2.659838E+1	1.000472E+1	6.553143E+0	2.222962E+1	4.150713E-4	1.462156E-4	-2.329906E-4	1.663481E+1
5.404600E+1	2.004523E+1	2.688905E+1	1.000483E+1	6.843818E+0	2.232651E+1	4.221668E-4	1.462156E-4	-2.209315E-4	1.691918E+1
5.516600E+1	2.004507E+1	2.688619E+1	1.000394E+1	6.841126E+0	2.232544E+1	4.376795E-4	1.462156E-4	-1.919891E-4	1.754088E+1
5.628500E+1	2.004514E+1	2.717217E+1	1.000490E+1	7.127035E+0	2.242082E+1	4.407736E-4	1.462156E-4	-1.881551E-4	1.766488E+1
5.740800E+1	2.004522E+1	2.717159E+1	1.000396E+1	7.126374E+0	2.242068E+1	4.551435E-4	1.462156E-4	-1.657177E-4	1.824079E+1
5.853200E+1	2.004527E+1	2.745850E+1	1.000466E+1	7.413225E+0	2.251635E+1	4.691040E-4	1.462156E-4	-1.437030E-4	1.880028E+1
5.965300E+1	2.004518E+1	2.745056E+1	1.005536E+1	7.405384E+0	2.251364E+1	4.881452E-4	1.464557E-4	-1.104073E-4	1.956339E+1
6.077600E+1	2.004507E+1	2.774288E+1	1.005711E+1	7.697807E+0	2.261101E+1	4.966509E-4	1.695045E-4	-9.434896E-5	1.990428E+1
6.194400E+1	2.004516E+1	2.774459E+1	1.005678E+1	7.699428E+0	2.261164E+1	5.139648E-4	1.983155E-4	-6.718608E-5	2.059817E+1
6.306600E+1	2.004501E+1	2.803499E+1	1.000460E+1	7.989986E+0	2.270833E+1	5.182422E-4	2.295273E-4	-5.686039E-5	2.076959E+1
6.418800E+1	2.004526E+1	2.803554E+1	1.000457E+1	7.990279E+0	2.270869E+1	5.327941E-4	2.304877E-4	-3.743746E-5	2.135279E+1
6.530500E+1	2.004502E+1	2.831789E+1	1.000461E+1	8.272869E+0	2.280265E+1	5.397368E-4	2.307278E-4	-2.137847E-5	2.163103E+1
6.642200E+1	2.004497E+1	2.831773E+1	1.000467E+1	8.272767E+0	2.280256E+1	5.527518E-4	2.307278E-4	1.334738E-6	2.215263E+1
6.755500E+1	2.004525E+1	2.860070E+1	1.000483E+1	8.555442E+0	2.289707E+1	5.672483E-4	2.307278E-4	2.013055E-5	2.273361E+1
