Temps(s)	Pc(MPa)	Pax(MPa)	Ppam(MPa)	Q(MPa)	Pmoy(MPa)	Defaxcapt	Defvolfluide	Defvolconf	Deplct(µm)
1.881000E+0	4.105295E+0	4.193082E+0	1.487239E+0	8.778762E-2	4.134557E+0	-4.704566E-6	-5.385569E-5	-1.723044E-4	-1.881827E-1
3.000000E+0	4.105525E+0	4.192967E+0	1.432780E+0	8.744121E-2	4.134673E+0	-1.562352E-7	-1.323242E-4	-5.198687E-4	-6.249408E-3
4.119000E+0	4.105275E+0	4.192822E+0	1.433269E+0	8.754661E-2	4.134457E+0	-3.385119E-6	-2.551444E-4	-1.027626E-3	-1.354047E-1
5.239000E+0	4.051759E+0	4.191987E+0	1.380394E+0	1.402280E-1	4.098501E+0	-4.434184E-6	-4.020900E-4	-2.360621E-4	-1.773674E-1
6.358000E+0	4.051821E+0	4.193137E+0	1.380918E+0	1.413164E-1	4.098926E+0	-2.431990E-6	-5.938747E-4	-2.377149E-4	-9.727960E-2
7.478000E+0	4.051785E+0	4.192274E+0	1.380455E+0	1.404888E-1	4.098615E+0	2.063625E-6	-8.085664E-4	-2.367614E-4	8.254501E-2
8.600000E+0	3.998580E+0	4.192561E+0	1.380954E+0	1.939810E-1	4.063241E+0	1.914232E-6	-1.047627E-3	9.376985E-4	7.656930E-2
9.719000E+0	3.999016E+0	4.192158E+0	1.380535E+0	1.931421E-1	4.063397E+0	2.062174E-6	-1.309351E-3	9.268802E-4	8.248698E-2
1.083800E+1	3.999212E+0	4.192993E+0	1.380865E+0	1.937808E-1	4.063806E+0	8.623350E-6	-1.594957E-3	9.220155E-4	3.449340E-1
1.195700E+1	3.999034E+0	4.192705E+0	1.381007E+0	1.936709E-1	4.063591E+0	5.617168E-8	-1.903957E-3	9.264364E-4	2.246867E-3
1.307800E+1	3.999034E+0	4.192647E+0	1.380900E+0	1.936133E-1	4.063572E+0	4.489383E-6	-2.235377E-3	9.264364E-4	1.795753E-1
1.419700E+1	3.998936E+0	4.011694E+0	1.381051E+0	1.275794E-2	4.003189E+0	9.982729E-6	-2.590678E-3	9.288628E-4	3.993092E-1
1.531700E+1	3.999274E+0	4.012269E+0	1.381042E+0	1.299554E-2	4.003606E+0	2.963160E-6	-2.968399E-3	9.204827E-4	1.185264E-1
1.643300E+1	3.999052E+0	4.011953E+0	1.381087E+0	1.290124E-2	4.003352E+0	1.097477E-5	-3.368783E-3	9.259984E-4	4.389906E-1
1.755100E+1	3.998945E+0	4.011148E+0	1.432681E+0	1.220269E-2	4.003013E+0	5.701244E-6	-3.792561E-3	9.286438E-4	2.280497E-1
1.867100E+1	3.999310E+0	4.012241E+0	1.433419E+0	1.293100E-2	4.003620E+0	7.954277E-6	-4.218289E-3	9.195950E-4	3.181711E-1
1.979400E+1	3.999016E+0	4.011723E+0	1.432797E+0	1.270682E-2	4.003251E+0	6.779850E-6	-4.671554E-3	9.268861E-4	2.711940E-1
2.091900E+1	3.998998E+0	4.011780E+0	1.433313E+0	1.278201E-2	4.003259E+0	9.954988E-6	-5.145046E-3	9.273241E-4	3.981995E-1
2.203800E+1	3.999007E+0	4.011550E+0	1.486446E+0	1.254326E-2	4.003188E+0	9.157465E-6	-5.642906E-3	9.271051E-4	3.662986E-1
2.315800E+1	3.999043E+0	4.011838E+0	1.487202E+0	1.279525E-2	4.003308E+0	3.846018E-6	-6.139792E-3	9.262115E-4	1.538407E-1
2.427900E+1	3.999186E+0	4.009853E+0	1.538476E+0	1.066760E-2	4.002741E+0	9.237641E-6	-6.660316E-3	9.226724E-4	3.695057E-1
2.539900E+1	3.998785E+0	4.011608E+0	1.592445E+0	1.282305E-2	4.003060E+0	9.599019E-6	-7.183276E-3	9.326090E-4	3.839608E-1
2.651500E+1	3.998679E+0	4.010170E+0	1.591752E+0	1.149123E-2	4.002509E+0	3.926329E-6	-7.705018E-3	9.352544E-4	1.570532E-1
2.763600E+1	3.944709E+0	4.011292E+0	1.645143E+0	6.658276E-2	3.966904E+0	1.024263E-5	-8.253079E-3	2.274903E-3	4.097053E-1
