Temps(s)	Pc(MPa)	Pax(MPa)	Ppam(MPa)	Q(MPa)	Pmoy(MPa)	Defaxcapt	Defvolfluide	Defvolconf	Deplct(µm)
2.220000E+0	8.004108E+1	8.212278E+1	1.000651E+1	2.081696E+0	8.073498E+1	-7.385566E-6	0.000000E+0	-2.269158E-5	-2.948835E-1
3.341000E+0	8.004094E+1	8.211891E+1	1.000661E+1	2.077972E+0	8.073360E+1	-2.759169E-6	0.000000E+0	-1.304186E-5	-1.101654E-1
4.462000E+0	8.004082E+1	8.212250E+1	1.000599E+1	2.081679E+0	8.073472E+1	2.701560E-6	0.000000E+0	-2.396577E-6	1.078652E-1
5.581000E+0	8.004094E+1	8.240438E+1	1.000650E+1	2.363440E+0	8.082875E+1	-5.381629E-6	0.000000E+0	-1.743181E-5	-2.148723E-1
6.701000E+0	8.004037E+1	8.268956E+1	1.000540E+1	2.649192E+0	8.092343E+1	-1.193410E-5	0.000000E+0	-2.087995E-5	-4.764930E-1
7.825000E+0	8.004017E+1	8.268633E+1	1.000625E+1	2.646161E+0	8.092222E+1	6.744192E-6	0.000000E+0	1.299433E-5	2.692754E-1
8.947000E+0	8.004032E+1	8.297617E+1	1.000504E+1	2.935853E+0	8.101894E+1	1.061817E-5	0.000000E+0	1.747381E-5	4.239518E-1
1.006500E+1	8.004021E+1	8.297692E+1	1.000634E+1	2.936710E+0	8.101911E+1	2.508138E-5	0.000000E+0	4.609543E-5	1.001424E+0
1.119100E+1	8.004105E+1	8.297341E+1	1.000631E+1	2.932367E+0	8.101850E+1	3.990133E-5	0.000000E+0	5.963137E-5	1.593141E+0
1.231500E+1	8.004101E+1	8.326479E+1	1.000643E+1	3.223784E+0	8.111560E+1	4.195964E-5	0.000000E+0	6.382050E-5	1.675322E+0
1.343400E+1	8.004106E+1	8.326350E+1	1.000534E+1	3.222442E+0	8.111521E+1	5.301542E-5	0.000000E+0	8.138357E-5	2.116747E+0
1.455200E+1	8.004102E+1	8.326430E+1	1.000648E+1	3.223281E+0	8.111544E+1	6.796543E-5	0.000000E+0	1.070113E-4	2.713656E+0
1.567100E+1	8.004105E+1	8.326380E+1	1.005726E+1	3.222757E+0	8.111530E+1	8.051146E-5	0.000000E+0	1.278542E-4	3.214581E+0
1.679400E+1	8.004100E+1	8.355031E+1	1.005856E+1	3.509313E+0	8.121077E+1	8.755713E-5	1.550048E-5	1.400080E-4	3.495894E+0
